,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～４月累計,１月～４月累計,１月～４月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1814,1454,124.8,1751,103.6,7812,93/4,4970,6166,80.6,22.6,23.3
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,539,402,134.1,554,97.3,4868,85/4,1538,2225,69.1,6.7,7.2
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,2269,1120,202.6,1231,184.3,7198,85/4,5003,3997,125.2,28.2,23.4
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,1392,714,195.0,1387,100.4,5607,91/4,3269,4490,72.8,17.3,15.3
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2028,2021,100.3,1973,102.8,3190,07/4,6579,8097,81.3,25.2,30.8
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,8042,5711,140.8,6896,116.6,22617,85/4,21359,24975,85.5,100,100
