,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～８月累計,１月～８月累計,１月～８月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1016,1097,92.6,790,128.6,,,7841,5588,140.3,38.4,39.9,49.0,48.0
本田技研,４０１以上,1056,1213,87.1,1056,100.0,,,8504,8824,96.4,22.4,20.7,51.0,52.0
本田技研,計,2072,2310,89.7,1846,112.2,7812,93/4,16345,14412,113.4,28.2,26.9,100,100
スズキ,251～400,261,338,77.2,360,72.5,,,2356,2900,81.2,9.9,12.0,31.3,35.2
スズキ,４０１以上,572,878,65.1,487,117.5,,,4341,4644,93.5,12.1,10.6,68.7,64.8
スズキ,計,833,1216,68.5,847,98.3,4868,85/4,6697,7544,88.8,11.3,11.0,100,100
ヤマハ,251～400,988,1044,94.6,1112,88.8,,,6640,7561,87.8,37.3,33.8,57.0,53.1
ヤマハ,４０１以上,745,901,82.7,1167,63.8,,,5859,7343,79.8,15.8,14.3,43.0,46.9
ヤマハ,計,1733,1945,89.1,2279,76.0,7198,85/4,12499,14904,83.9,23.6,20.6,100,100
カワサキ,251～400,328,347,94.5,418,78.5,,,2325,2773,83.8,12.4,11.8,30.1,23.2
カワサキ,４０１以上,761,1092,69.7,1030,73.9,,,7678,7841,97.9,16.2,18.7,69.9,76.8
カワサキ,計,1089,1439,75.7,1448,75.2,5607,91/4,10003,10614,94.2,14.8,16.5,100,100
その他,251～400,56,82,68.3,55,101.8,,,474,374,126.7,2.1,2.4,3.4,3.1
その他,４０１以上,1575,2246,70.1,1623,97.0,,,14702,13011,113.0,33.4,35.8,96.6,96.9
その他,計,1631,2328,70.1,1678,97.2,2603,02/4,15176,13385,113.4,22.2,25.0,100,100
合計,251～400,2649,2908,91.1,2735,96.9,,,19636,19196,102.3,100,100,36.0,32.3
合計,４０１以上,4709,6330,74.4,5363,87.8,,,41084,41663,98.6,100,100,64.0,67.7
合計,計,7358,9238,79.6,8098,90.9,22617,85/4,60720,60859,99.8,100,100,100,100
