,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～８月累計,１月～８月累計,１月～８月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,14年(A),13年(B),(A / B),本月,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1398,1720,81.3,1490,93.8,7812,93/4,12622,12303,102.6,25.7,25.4
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,383,594,64.5,573,66.8,4868,85/4,4372,4685,93.3,7.0,8.8
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1313,1421,92.4,656,200.2,7198,85/4,8793,5136,171.2,24.1,17.7
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,762,986,77.3,707,107.8,5607,91/4,8258,7614,108.5,14.0,16.6
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1581,1914,82.6,1717,92.1,3190,07/4,15701,15516,101.2,29.1,31.6
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,5437,6635,81.9,5143,105.7,22617,85/4,49746,45254,109.9,100,100
