,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～12月累計,１月～12月累計,１月～12月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,922,669,137.8,732,126.0,7812,93/04,13665,16762,81.5,20.4,20.5
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,342,438,78.1,274,124.8,4868,85/04,5616,5838,96.2,7.6,8.4
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,731,783,93.4,679,107.7,7198,85/04,14608,12847,113.7,16.2,21.9
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,523,520,100.6,546,95.8,5607,91/04,9790,11295,86.7,11.6,14.7
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2001,1841,108.7,2033,98.4,3190,07/04,22942,23409,98.0,44.3,34.4
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,4519,4251,106.3,4264,106.0,22617,85/04,66621,70151,95.0,100,100
