,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～2月累計,１月～2月累計,１月～2月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1027,675,152.1,1132,90.7,7812,93/4,1702,1919,88.7,22.8,22.4
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,322,275,117.1,492,65.4,4868,85/4,597,859,69.5,7.2,7.8
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,975,639,152.6,734,132.8,7198,85/4,1614,1328,121.5,21.7,21.2
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,638,525,121.5,925,69.0,5607,91/4,1163,1686,69.0,14.2,15.3
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1534,996,154.0,1800,85.2,3190,07/4,2530,2962,85.4,34.1,33.3
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,4496,3110,144.6,5083,88.5,22617,85/4,7606,8754,86.9,100,100
