,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１月累計,１月～１月累計,１月～１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,540,506,106.7,420,128.6,,,540,420,128.6,43.2,43.2,58.1,58.1
本田技研,４０１以上,390,505,77.2,542,72.0,,,390,542,72.0,16.4,16.4,41.9,41.9
本田技研,計,930,1011,92.0,962,96.7,7812,93/4,930,962,96.7,25.6,25.6,100,100
スズキ,251～400,206,268,76.9,244,84.4,,,206,244,84.4,16.5,16.5,39.5,39.5
スズキ,４０１以上,315,319,98.7,329,95.7,,,315,329,95.7,13.2,13.2,60.5,60.5
スズキ,計,521,587,88.8,573,90.9,4868,85/4,521,573,90.9,14.3,14.3,100,100
ヤマハ,251～400,348,398,87.4,344,101.2,,,348,344,101.2,27.8,27.8,50.3,50.3
ヤマハ,４０１以上,344,358,96.1,336,102.4,,,344,336,102.4,14.4,14.4,49.7,49.7
ヤマハ,計,692,756,91.5,680,101.8,7198,85/4,692,680,101.8,19.1,19.1,100,100
カワサキ,251～400,120,206,58.3,132,90.9,,,120,132,90.9,9.6,9.6,24.3,24.3
カワサキ,４０１以上,373,447,83.4,418,89.2,,,373,418,89.2,15.7,15.7,75.7,75.7
カワサキ,計,493,653,75.5,550,89.6,5607,91/4,493,550,89.6,13.6,13.6,100,100
その他,251～400,37,44,84.1,40,92.5,,,37,40,92.5,3.0,3.0,3.7,3.7
その他,４０１以上,959,2001,47.9,1005,95.4,,,959,1005,95.4,40.3,40.3,96.3,96.3
その他,計,996,2045,48.7,1045,95.3,2603,02/4,996,1045,95.3,27.4,27.4,100,100
合計,251～400,1251,1422,88.0,1180,106.0,,,1251,1180,106.0,100,100,34.4,34.4
合計,４０１以上,2381,3630,65.6,2630,90.5,,,2381,2630,90.5,100,100,65.6,65.6
合計,計,3632,5052,71.9,3810,95.3,22617,85/4,3632,3810,95.3,100,100,100,100
