,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～1月累計,１月～1月累計,１月～1月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,675,732,92.2,787,85.8,7812,93/4,675,787,85.8,21.7,21.7
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,275,274,100.4,367,74.9,4868,85/4,275,367,74.9,8.8,8.8
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,639,679,94.1,594,107.6,7198,85/4,639,594,107.6,20.5,20.5
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,525,546,96.2,761,69.0,5607,91/4,525,761,69.0,16.9,16.9
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,996,2033,49.0,1162,85.7,3190,07/4,996,1162,85.7,32.0,32.0
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,3110,4264,72.9,3671,84.7,22617,85/4,3110,3671,84.7,100,100
