,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～７月累計,１月～７月累計,１月～７月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０３年(A),０２年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1088,861,126.4,1097,99.2,,,5431,6825,79.6,40.0,36.6,47.3,47.1
本田技研,４０１以上,1210,821,147.4,1213,99.8,,,6094,7448,81.8,21.3,18.4,52.7,52.9
本田技研,計,2298,1682,136.6,2310,99.5,7812,93/4,11525,14273,80.7,27.3,24.0,100,100
スズキ,251～400,330,313,105.4,338,97.6,,,2074,2095,99.0,12.1,14.0,38.9,36.2
スズキ,４０１以上,518,503,103.0,878,59.0,,,3663,3769,97.2,9.1,11.0,61.1,63.8
スズキ,計,848,816,103.9,1216,69.7,4868,85/4,5737,5864,97.8,10.1,12.0,100,100
ヤマハ,251～400,946,786,120.4,1044,90.6,,,5199,5652,92.0,34.8,35.0,54.6,52.6
ヤマハ,４０１以上,788,736,107.1,901,87.5,,,4689,5114,91.7,13.8,14.1,45.4,47.4
ヤマハ,計,1734,1522,113.9,1945,89.2,7198,85/4,9888,10766,91.8,20.6,20.6,100,100
カワサキ,251～400,287,261,110.0,347,82.7,,,1732,1997,86.7,10.6,11.7,24.3,23.8
カワサキ,４０１以上,896,802,111.7,1092,82.1,,,5551,6917,80.3,15.7,16.7,75.7,76.2
カワサキ,計,1183,1063,111.3,1439,82.2,5607,91/4,7283,8914,81.7,14.1,15.2,100,100
その他,251～400,68,43,158.1,82,82.9,,,407,418,97.4,2.5,2.7,2.9,3.0
その他,４０１以上,2278,1850,123.1,2246,101.4,,,13153,13127,100.2,40.0,39.7,97.1,97.0
その他,計,2346,1893,123.9,2328,100.8,2655,03/4,13560,13545,100.1,27.9,28.3,100,100
合計,251～400,2719,2264,120.1,2908,93.5,,,14843,16987,87.4,100,100,32.3,30.9
合計,４０１以上,5690,4712,120.8,6330,89.9,,,33150,36375,91.1,100,100,67.7,69.1
合計,計,8409,6976,120.5,9238,91.0,22617,85/4,47993,53362,89.9,100,100,100,100
