,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～６月累計,１月～６月累計,１月～６月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,778,689,112.9,1060,73.4,,,3864,5308,72.8,27.9,29.2,34.1,37.9
本田技研,４０１以上,1505,1108,135.8,1162,129.5,,,6344,6475,98.0,24.2,21.1,65.9,62.1
本田技研,計,2283,1797,127.0,2222,102.7,7812,93/4,10208,11783,86.6,25.4,23.5,100,100
スズキ,251～400,413,376,109.8,397,104.0,,,2105,2323,90.6,14.8,15.9,42.1,36.9
スズキ,４０１以上,567,646,87.8,575,98.6,,,3606,3075,117.3,9.1,12.0,57.9,63.1
スズキ,計,980,1022,95.9,972,100.8,4868,85/4,5711,5398,105.8,10.9,13.2,100,100
ヤマハ,251～400,1140,1089,104.7,944,120.8,,,5100,4503,113.3,40.9,38.5,52.9,50.3
ヤマハ,４０１以上,1015,898,113.0,965,105.2,,,5038,5185,97.2,16.3,16.7,47.1,49.7
ヤマハ,計,2155,1987,108.5,1909,112.9,7198,85/4,10138,9688,104.6,23.9,23.4,100,100
カワサキ,251～400,391,372,105.1,393,99.5,,,1917,2112,90.8,14.0,14.5,26.3,25.4
カワサキ,４０１以上,1097,1050,104.5,1206,91.0,,,5645,6612,85.4,17.7,18.7,73.7,74.6
カワサキ,計,1488,1422,104.6,1599,93.1,5607,91/4,7562,8724,86.7,16.5,17.4,100,100
※その他,251～400,67,58,115.5,129,51.9,,,259,206,125.7,2.4,2.0,3.2,2.7
※その他,４０１以上,2029,1739,116.7,1666,121.8,,,9474,8244,114.9,32.7,31.5,96.8,97.3
※その他,計,2096,1797,116.6,1795,116.8,2081,01/4,9733,8450,115.2,23.3,22.5,100,100
合計,251～400,2789,2584,107.9,2923,95.4,,,13245,14452,91.6,100,100,31.0,30.6
合計,４０１以上,6213,5441,114.2,5574,111.5,,,30107,29591,101.7,100,100,69.0,69.4
合計,計,9002,8025,112.2,8497,105.9,22617,85/4,43352,44043,98.4,100,100,100,100
