,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～3月累計,１月～3月累計,１月～3月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1454,1027,141.6,2496,58.3,7812,93/4,3156,4415,71.5,25.5,23.7
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,402,322,124.8,812,49.5,4868,85/4,999,1671,59.8,7.0,7.5
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1120,975,114.9,1438,77.9,7198,85/4,2734,2766,98.8,19.6,20.5
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,714,638,111.9,1417,50.4,5607,91/4,1877,3103,60.5,12.5,14.1
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2021,1534,131.7,3162,63.9,3190,07/4,4551,6124,74.3,35.4,34.2
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,5711,4496,127.0,9325,61.2,22617,85/4,13317,18079,73.7,100,100
