,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～５月累計,１月～５月累計,１月～５月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０２年(A),０１年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,1025,1446,70.9,689,148.8,,,4788,3086,155.2,38.0,41.3,49.2,47.6
本田技研,４０１以上,1058,1589,66.6,1108,95.5,,,5264,4839,108.8,19.4,21.4,50.8,52.4
本田技研,計,2083,3035,68.6,1797,115.9,7812,93/4,10052,7925,126.8,25.6,27.8,100,100
スズキ,251～400,267,361,74.0,376,71.0,,,1477,1692,87.3,9.9,12.7,36.5,40.4
スズキ,４０１以上,465,582,79.9,646,72.0,,,2176,3039,71.6,8.5,8.9,63.5,59.6
スズキ,計,732,943,77.6,1022,71.6,4868,85/4,3653,4731,77.2,9.0,10.1,100,100
ヤマハ,251～400,972,1277,76.1,1089,89.3,,,3699,3960,93.4,36.1,31.9,51.9,51.4
ヤマハ,４０１以上,900,1196,75.3,898,100.2,,,3500,4023,87.0,16.5,14.2,48.1,48.6
ヤマハ,計,1872,2473,75.7,1987,94.2,7198,85/4,7199,7983,90.2,23.0,19.9,100,100
カワサキ,251～400,333,438,76.0,372,89.5,,,1359,1526,89.1,12.4,11.7,24.4,22.2
カワサキ,４０１以上,1034,1730,59.8,1050,98.5,,,4754,4548,104.5,19.0,19.3,75.6,77.8
カワサキ,計,1367,2168,63.1,1422,96.1,5607,91/4,6113,6074,100.6,16.8,16.9,100,100
その他,251～400,97,50,194.0,58,167.2,,,273,192,142.2,3.6,2.4,4.6,3.0
その他,４０１以上,1997,2553,78.2,1739,114.8,,,8888,7445,119.4,36.6,36.2,95.4,97.0
その他,計,2094,2603,80.4,1797,116.5,2603,02/4,9161,7637,120.0,25.7,25.3,100,100
合計,251～400,2694,3572,75.4,2584,104.3,,,11596,10456,110.9,100,100,33.1,32.1
合計,４０１以上,5454,7650,71.3,5441,100.2,,,24582,23894,102.9,100,100,66.9,67.9
合計,計,8148,11222,72.6,8025,101.5,22617,85/4,36178,34350,105.3,100,100,100,100
