,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～５月累計,１月～５月累計,１月～５月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1117,1814,61.6,1577,70.8,7812,93/4,6087,7743,78.6,19.4,22.4
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,428,539,79.4,479,89.4,4868,85/4,1966,2704,72.7,7.4,7.2
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1448,2269,63.8,992,146.0,7198,85/4,6451,4989,129.3,25.1,23.8
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,985,1392,70.8,987,99.8,5607,91/4,4254,5477,77.7,17.1,15.7
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1781,2028,87.8,1698,104.9,3190,07/4,8360,9795,85.3,30.9,30.8
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,5759,8042,71.6,5733,100.5,22617,85/4,27118,30708,88.3,100,100
