,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１１月累計,１月～１１月累計,１月～１１月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,623,657,94.8,618,100.8,,,7539,9472,79.6,33.6,29.7,44.3,39.4
本田技研,４０１以上,782,998,78.4,648,120.7,,,11588,10703,108.3,19.7,21.3,55.7,60.6
本田技研,計,1405,1655,84.9,1266,111.0,7812,93/4,19127,20175,94.8,24.1,24.0,100,100
スズキ,251～400,272,310,87.7,333,81.7,,,3769,4444,84.8,14.7,14.8,36.4,39.0
スズキ,４０１以上,476,410,116.1,345,138.0,,,5896,5221,112.9,12.0,10.8,63.6,61.0
スズキ,計,748,720,103.9,678,110.3,4868,85/4,9665,9665,100.0,12.9,12.1,100,100
ヤマハ,251～400,668,865,77.2,453,147.5,,,9924,8408,118.0,36.0,39.1,56.0,51.5
ヤマハ,４０１以上,525,728,72.1,540,97.2,,,9358,8922,104.9,13.2,17.2,44.0,48.5
ヤマハ,計,1193,1593,74.9,993,120.1,7198,85/4,19282,17330,111.3,20.5,24.2,100,100
カワサキ,251～400,260,303,85.8,300,86.7,,,3655,4216,86.7,14.0,14.4,32.7,26.9
カワサキ,４０１以上,536,741,72.3,759,70.6,,,9926,11585,85.7,13.5,18.2,67.3,73.1
カワサキ,計,796,1044,76.2,1059,75.2,5607,91/4,13581,15801,86.0,13.7,17.0,100,100
その他,251～400,33,56,58.9,15,220.0,,,514,460,111.7,1.8,2.0,2.0,2.8
その他,４０１以上,1645,1590,103.5,1264,130.1,,,17636,15123,116.6,41.5,32.4,98.0,97.2
その他,計,1678,1646,101.9,1279,131.2,2096,01/6,18150,15583,116.5,28.8,22.7,100,100
合計,251～400,1856,2191,84.7,1719,108.0,,,25401,27000,94.1,100,100,31.9,31.8
合計,４０１以上,3964,4467,88.7,3556,111.5,,,54404,51554,105.5,100,100,68.1,68.2
合計,計,5820,6658,87.4,5275,110.3,22617,85/4,79805,78554,101.6,100,100,100,100
