,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～11月累計,１月～11月累計,１月～11月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,14年(A),13年(B),(A / B),本月,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,794,1129,70.3,1017,78.1,7812,93/4,16030,16673,96.1,19.2,24.3
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,282,440,64.1,434,65.0,4868,85/4,5564,6348,87.6,6.8,8.4
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,845,1208,70.0,576,146.7,7198,85/4,12168,6854,177.5,20.5,18.5
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,617,935,66.0,682,90.5,5607,91/4,10749,9600,112.0,14.9,16.3
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1593,2075,76.8,1943,82.0,3190,07/4,21376,21184,100.9,38.6,32.4
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,4131,5787,71.4,4652,88.8,22617,85/4,65887,60659,108.6,100,100
