,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～１０月累計,１月～１０月累計,１月～１０月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,０１年(A),００年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,657,671,97.9,656,100.2,,,6916,8854,78.1,30.0,29.4,39.7,39.0
本田技研,４０１以上,998,984,101.4,811,123.1,,,10806,10055,107.5,22.3,21.4,60.3,61.0
本田技研,計,1655,1655,100.0,1467,112.8,7812,93/4,17722,18909,93.7,24.9,24.0,100,100
スズキ,251～400,310,287,108.0,402,77.1,,,3497,4111,85.1,14.1,14.9,43.1,39.2
スズキ,４０１以上,410,366,112.0,310,132.3,,,5420,4876,111.2,9.2,10.7,56.9,60.8
スズキ,計,720,653,110.3,712,101.1,4868,85/4,8917,8987,99.2,10.8,12.1,100,100
ヤマハ,251～400,865,830,104.2,627,138.0,,,9256,7955,116.4,39.5,39.3,54.3,51.2
ヤマハ,４０１以上,728,762,95.5,700,104.0,,,8833,8382,105.4,16.3,17.5,45.7,48.8
ヤマハ,計,1593,1592,100.1,1327,120.0,7198,85/4,18089,16337,110.7,23.9,24.4,100,100
カワサキ,251～400,303,319,95.0,355,85.4,,,3395,3916,86.7,13.8,14.4,29.0,26.6
カワサキ,４０１以上,741,808,91.7,934,79.3,,,9390,10826,86.7,16.6,18.6,71.0,73.4
カワサキ,計,1044,1127,92.6,1289,81.0,5607,91/4,12785,14742,86.7,15.7,17.3,100,100
その他,251～400,56,51,109.8,39,143.6,,,481,445,108.1,2.6,2.0,3.4,2.9
その他,４０１以上,1590,1390,114.4,1195,133.1,,,15991,13859,115.4,35.6,31.7,96.6,97.1
その他,計,1646,1441,114.2,1234,133.4,2096,01/6,16472,14304,115.2,24.7,22.3,100,100
合計,251～400,2191,2158,101.5,2079,105.4,,,23545,25281,93.1,100,100,32.9,31.8
合計,４０１以上,4467,4310,103.6,3950,113.1,,,50440,47998,105.1,100,100,67.1,68.2
合計,計,6658,6468,102.9,6029,110.4,22617,85/4,73985,73279,101.0,100,100,100,100
