,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～10月累計,１月～10月累計,１月～10月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1065,1310,81.3,1129,94.3,7812,93/04,12074,15236,79.2,19.9,20.9
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,516,652,79.1,440,117.3,4868,85/04,4836,5282,91.6,9.6,8.4
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1152,1211,95.1,1208,95.4,7198,85/04,13094,11323,115.6,21.5,22.6
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,698,710,98.3,935,74.7,5607,91/04,8747,10132,86.3,13.0,15.1
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,1927,2040,94.5,2075,92.9,3190,07/04,19100,19783,96.5,36.0,33.0
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,5358,5923,90.5,5787,92.6,22617,85/04,57851,61756,93.7,100,100
