,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,１月～９月累計,１月～９月累計,１月～９月累計,銘柄別占拠率,銘柄別占拠率,排気量別構成比,排気量別構成比
,排気量別,本月,前月,前月比,前年同月,前年同月比,過去最高（年月）,過去最高（年月）,００年(A),９９年(B),(A / B),本月,本年,本月,本年
本田技研,251～400,830,1056,78.6,1178,70.5,,,8198,11093,73.9,31.8,35.3,49.5,47.0
本田技研,４０１以上,848,853,99.4,810,104.7,,,9244,10158,91.0,19.7,21.0,50.5,53.0
本田技研,計,1678,1909,87.9,1988,84.4,7812,93/4,17442,21251,82.1,24.2,25.9,100,100
スズキ,251～400,443,553,80.1,439,100.9,,,3709,4887,75.9,17.0,16.0,51.6,44.8
スズキ,４０１以上,416,444,93.7,462,90.0,,,4566,4199,108.7,9.6,10.4,48.4,55.2
スズキ,計,859,997,86.2,901,95.3,4868,85/4,8275,9086,91.1,12.4,12.3,100,100
ヤマハ,251～400,819,960,85.3,1020,80.3,,,7328,9816,74.7,31.4,31.6,54.3,48.8
ヤマハ,４０１以上,688,875,78.6,828,83.1,,,7682,9260,83.0,16.0,17.4,45.7,51.2
ヤマハ,計,1507,1835,82.1,1848,81.5,7198,85/4,15010,19076,78.7,21.8,22.3,100,100
カワサキ,251～400,483,472,102.3,525,92.0,,,3561,4776,74.6,18.5,15.3,32.7,26.5
カワサキ,４０１以上,992,1086,91.3,1042,95.2,,,9892,11481,86.2,23.0,22.5,67.3,73.5
カワサキ,計,1475,1558,94.7,1567,94.1,5607,91/4,13453,16257,82.8,21.3,20.0,100,100
その他,251～400,35,64,54.7,21,166.7,,,406,275,147.6,1.3,1.7,2.5,3.1
その他,４０１以上,1367,1453,94.1,1147,119.2,,,12664,11180,113.3,31.7,28.8,97.5,96.9
その他,計,1402,1517,92.4,1168,120.0,1795,00/6,13070,11455,114.1,20.3,19.4,100,100
合計,251～400,2610,3105,84.1,3183,82.0,,,23202,30847,75.2,100,100,37.7,34.5
合計,４０１以上,4311,4711,91.5,4289,100.5,,,44048,46278,95.2,100,100,62.3,65.5
合計,計,6921,7816,88.5,7472,92.6,22617,85/4,67250,77125,87.2,100,100,100,100
