,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,１月～９月累計,１月～９月累計,１月～９月累計,銘柄別占拠率,銘柄別占拠率
,排気量別,本月,前月,前月比,前年同月,前年 同月比,過去最高 （年月）,過去最高 （年月）,15年(A),14年(B),(A / B),本,本年
ホンダ,251～400,,,,,,,,,,,,
ホンダ,401以上,,,,,,,,,,,,
ホンダ,計,1310,1059,123.7,1485,88.2,7812,93/04,11009,14107,78.0,22.1,21.0
スズキ,251～400,,,,,,,,,,,,
スズキ,401以上,,,,,,,,,,,,
スズキ,計,652,426,153.1,470,138.7,4868,85/04,4320,4842,89.2,11.0,8.2
ヤマハ,251～400,,,,,,,,,,,,
ヤマハ,401以上,,,,,,,,,,,,
ヤマハ,計,1211,1106,109.5,1322,91.6,7198,85/04,11941,10115,118.1,20.4,22.7
カワサキ,251～400,,,,,,,,,,,,
カワサキ,401以上,,,,,,,,,,,,
カワサキ,計,710,711,99.9,939,75.6,5607,91/04,8048,9197,87.5,12.0,15.3
その他,251～400,,,,,,,,,,,,
その他,401以上,,,,,,,,,,,,
その他,計,2040,1854,110.0,2007,101.6,3190,07/04,17172,17708,97.0,34.4,32.7
合計,251～400,,,,,,,,,,,,
合計,401以上,,,,,,,,,,,,
合計,計,5923,5156,114.9,6223,95.2,22617,85/04,52490,55969,93.8,100,100
